103,176,399,211,569,103,-392,185,-343,221,-295,-245,-482,-484,47,-313,381,-87,-127,-225,21,-195,-197,-284,558,438,-601,557,529,-447,181,-246,-77,-353,-97,-441,249,-192,35,495,-482,240,392,-102,-495,-394,-154,137,357,-393,531,332,52,154,440,-415,-393,-235,312,-104,-304
146,-405,-199,-100,-269,112,1,436,320,501,64,101,388,-79,-176,163,-9,-300,120,-143,-279,425,-23,205,230,328,-219,35,407,167,367,-228,164,-95,63,-153,386,283,-142,-197,122,54,-330,-311,309,-410,121,67,-545,-1,-236,47,368,391,553,175,-438,-460,-477,189,-112
328,501,-111,-477,-114,-317,96,180,400,596,-152,340,-235,-576,11,484,366,418,-639,96,288,606,156,-377,-336,-642,65,226,177,-277,579,-218,-163,565,248,-160,445,-34,595,460,354,714,429,-184,-301,112,-387,-243,-449,455,167,-65,-304,238,190,449,-48,-394,-324,405,-360
335,-49,-66,56,-522,-416,-469,219,407,134,159,246,419,-195,-501,-334,405,-430,-424,-88,-26,648,590,-329,-184,-571,279,-18,-454,123,189,-401,59,85,-312,-379,-96,63,165,8,-185,-233,-460,-364,401,28,618,107,234,70,-279,-23,-225,44,302,-180,-297,103,-214,-46,-126
-251,-476,-194,301,631,-580,-108,-126,-51,-85,222,498,-496,-488,338,-445,-217,-468,-408,181,-149,-470,98,-115,-381,318,-352,-91,415,-399,-357,-228,-112,-420,25,197,-248,-138,-159,108,318,388,501,514,-80,251,-578,403,110,-573,-377,-97,-407,49,-350,-213,-111,-100,137,-494,139
-672,419,-31,0,95,310,-371,394,-394,234,-8,12,417,-242,524,199,-38,-73,592,-405,475,-520,510,-361,-276,423,294,5,507,637,270,66,-29,-314,-353,-313,72,357,356,262,-538,468,34,288,124,193,-551,-512,-84,-584,567,154,-438,52,226,52,-164,-260,231,-502,269
639,-498,207,38,366,-442,111,-9,552,-71,589,-445,435,217,-35,-132,306,24,-429,-233,229,107,42,29,-243,-546,-314,495,-93,-29,-139,96,183,631,49,-68,315,-434,635,-524,171,355,-522,414,-329,80,-316,116,-50,610,-569,-96,228,333,-102,-198,-609,498,-365,-112,-358
252,237,83,391,82,-139,105,369,-151,200,385,544,125,-676,661,-313,379,-321,-402,-602,544,407,-165,-615,549,-42,274,158,-361,589,260,255,475,-313,78,-398,97,212,6,-362,151,386,537,-204,406,308,-151,73,508,-156,294,-518,204,-300,120,-132,43,-55,-183,94,-425
285,368,-657,519,512,-315,252,87,-291,-289,282,190,509,-297,-396,449,-151,437,-225,-183,-366,-219,-172,141,310,-529,-300,261,537,-451,79,-545,-277,-154,572,-10,-486,98,-231,179,205,-14,-47,382,-135,261,-476,-118,-91,-448,-169,241,-316,591,2,461,231,-271,55,77,-549
-25,517,277,-434,-12,506,415,-164,-560,-204,-629,419,365,-609,-346,123,132,540,-206,-277,-210,-495,-71,-15,-40,506,-546,-390,460,325,-343,242,-429,-138,481,185,-145,-180,-443,-315,417,305,101,-369,-58,110,-328,-348,-351,209,-161,-596,220,422,-590,-117,237,-194,555,-244,374
